"table__cell","table__cell 2","table__cell 3","table__cell 4","table__cell 5","table__cell 6","table__cell 7","icon-elbow","icon-elbow href"
"Madrid","4.514 €/m2","+ 0,9 %","+ 4,1 %","+ 12,4 %","4.514 €/m2 jun 2024","0,0 %","",""
"","4.850 €/m2","+ 2,0 %","+ 5,6 %","+ 10,4 %","4.850 €/m2 jun 2024","0,0 %","Arganzuela","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/arganzuela/"
"","3.686 €/m2","+ 0,3 %","+ 3,9 %","+ 5,1 %","3.686 €/m2 mar 2009","0,0 %","Barajas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/barajas/"
"- 14,5 %","2.712 €/m2","+ 1,4 %","+ 3,8 %","+ 10,4 %","3.173 €/m2 jun 2007","","Carabanchel","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/carabanchel/"
"- 0,6 %","6.170 €/m2","+ 0,4 %","+ 14,9 %","- 0,8 %","6.221 €/m2 abr 2024","","Centro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/centro/"
"","6.285 €/m2","+ 1,1 %","+ 4,1 %","+ 10,2 %","6.285 €/m2 jun 2024","0,0 %","Chamartín","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamartin/"
"","6.665 €/m2","+ 0,5 %","+ 5,0 %","+ 12,2 %","6.665 €/m2 jun 2024","0,0 %","Chamberí","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamberi/"
"","3.676 €/m2","+ 0,9 %","+ 5,1 %","+ 8,7 %","3.676 €/m2 jun 2024","0,0 %","Ciudad Lineal","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/ciudad-lineal/"
"","4.038 €/m2","+ 0,8 %","+ 3,3 %","+ 5,4 %","4.038 €/m2 jun 2024","0,0 %","Fuencarral","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/fuencarral/"
"","4.368 €/m2","+ 0,8 %","+ 5,7 %","+ 9,6 %","4.368 €/m2 jun 2024","0,0 %","Hortaleza","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/hortaleza/"
"- 9,3 %","2.772 €/m2","+ 0,9 %","+ 2,7 %","+ 9,7 %","3.058 €/m2 nov 2007","","Latina","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/latina/"
"","4.876 €/m2","+ 0,8 %","+ 3,7 %","+ 10,5 %","4.876 €/m2 jun 2024","0,0 %","Moncloa","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moncloa/"
"","3.136 €/m2","+ 1,7 %","+ 3,5 %","+ 12,6 %","3.136 €/m2 jun 2024","0,0 %","Moratalaz","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moratalaz/"
"- 19,6 %","2.367 €/m2","+ 0,3 %","+ 1,0 %","+ 8,4 %","2.944 €/m2 abr 2008","","Puente de Vallecas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/puente-de-vallecas/"
"","5.549 €/m2","+ 2,6 %","+ 1,9 %","+ 9,7 %","5.549 €/m2 jun 2024","0,0 %","Retiro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/retiro/"
"","7.846 €/m2","+ 2,3 %","+ 6,4 %","+ 18,4 %","7.846 €/m2 jun 2024","0,0 %","Salamanca","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/salamanca/"
"- 18,1 %","2.996 €/m2","+ 1,7 %","+ 4,6 %","+ 7,8 %","3.656 €/m2 nov 2007","","San Blas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/san-blas/"
"","4.536 €/m2","+ 1,0 %","+ 4,4 %","+ 10,3 %","4.536 €/m2 jun 2024","0,0 %","Tetuán","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/tetuan/"
