"table__cell","table__cell 2","table__cell 3","table__cell 4","table__cell 5","table__cell 6","table__cell 7","icon-elbow","icon-elbow href"
"Madrid","5.705 €/m2","+ 0,5 %","- 0,2 %","+ 18,1 %","5.723 €/m2 ago 2025","- 0,3 %","",""
"+ 17,8 %","5.982 €/m2","+ 0,5 %","0,0 %","+ 4,0 %","5.982 €/m2 oct 2025","","Arganzuela","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/arganzuela/"
"+ 19,2 %","4.646 €/m2","+ 4,6 %","0,0 %","+ 5,7 %","4.646 €/m2 oct 2025","","Barajas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/barajas/"
"+ 23,0 %","3.467 €/m2","+ 2,3 %","0,0 %","+ 3,4 %","3.467 €/m2 oct 2025","","Carabanchel","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/carabanchel/"
"- 1,4 %","7.214 €/m2","+ 10,2 %","- 0,5 %","","7.314 €/m2 jul 2025","- 1,4 %","Centro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/centro/"
"0,0 %","7.588 €/m2","+ 1,7 %","7.588 €/m2 oct 2025","+ 17,7 %","0,0 %","","Chamartín","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamartin/"
"+ 18,9 %","8.447 €/m2","+ 1,6 %","0,0 %","+ 1,0 %","8.447 €/m2 oct 2025","","Chamberí","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamberi/"
"+ 23,0 %","4.883 €/m2","+ 2,2 %","0,0 %","+ 4,1 %","4.883 €/m2 oct 2025","","Ciudad Lineal","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/ciudad-lineal/"
"+ 19,8 %","5.098 €/m2","+ 1,3 %","0,0 %","+ 2,7 %","5.098 €/m2 oct 2025","","Fuencarral","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/fuencarral/"
"","5.091 €/m2","+ 1,8 %","- 0,5 %","+ 15,1 %","5.117 €/m2 jul 2025","- 0,5 %","Hortaleza","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/hortaleza/"
"+ 26,5 %","3.785 €/m2","+ 2,8 %","0,0 %","+ 2,8 %","3.785 €/m2 oct 2025","","Latina","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/latina/"
"+ 21,8 %","6.206 €/m2","+ 2,2 %","0,0 %","+ 5,6 %","6.206 €/m2 oct 2025","","Moncloa","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moncloa/"
"+ 26,0 %","4.047 €/m2","+ 3,8 %","0,0 %","+ 3,5 %","4.047 €/m2 oct 2025","","Moratalaz","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moratalaz/"
