iter	Logloss
0	0.6441885786
1	0.6056211375
2	0.5708935182
3	0.5417496137
4	0.5169919689
5	0.4957135101
6	0.4780255947
7	0.4616371997
8	0.4476359171
9	0.4356263118
10	0.4245962206
11	0.4159955836
12	0.409618011
13	0.4014810955
14	0.3951822674
15	0.3898709334
16	0.3854947674
17	0.3804628833
18	0.3768396543
19	0.3732857684
20	0.3698519123
21	0.3670904997
22	0.3641564759
23	0.3612971519
24	0.3594832235
25	0.3567769065
26	0.353974245
27	0.3525146849
28	0.3515005539
29	0.3502282897
30	0.3490568884
31	0.346797458
32	0.3452673886
33	0.343794747
34	0.3430765363
35	0.3419523233
36	0.3410523554
37	0.3397578271
38	0.3390844362
39	0.3380088692
40	0.3373223239
41	0.3365493091
42	0.3357983398
43	0.3351717001
44	0.3343834538
45	0.3340345878
46	0.3331195342
47	0.3326613514
48	0.3321679687
49	0.3313787386
50	0.3309178594
51	0.330308929
52	0.3297112946
53	0.3293635217
54	0.3290307982
55	0.3285037459
56	0.3281756865
57	0.3277595178
58	0.3272223356
59	0.3268862961
60	0.3265093721
61	0.3261742071
62	0.3255065007
63	0.3251967701
64	0.3248709699
65	0.3244247391
66	0.3241482043
67	0.323919696
68	0.323568097
69	0.323520107
70	0.3232549776
71	0.3230618878
72	0.32234109
73	0.3221029618
74	0.3219695954
75	0.3215149108
76	0.3213526119
77	0.3210725426
78	0.3208334305
79	0.3203097306
80	0.3200076157
81	0.3197025857
82	0.3194653685
83	0.319087825
84	0.3188930227
85	0.3186102933
86	0.3185072441
87	0.3181889867
88	0.317876341
89	0.3176376662
90	0.3171325866
91	0.3165503294
92	0.3163389474
93	0.3162201201
94	0.3158529618
95	0.315585646
96	0.3152524487
97	0.3149559818
98	0.3146103224
99	0.3142210092
