iter	Passed	Remaining
0	143	14247
1	146	7186
2	149	4836
3	152	3654
4	154	2942
5	157	2469
6	161	2149
7	164	1890
8	167	1692
9	169	1529
10	172	1394
11	175	1285
12	177	1186
13	179	1104
14	182	1035
15	185	974
16	188	918
17	191	874
18	194	829
19	197	788
20	199	751
21	202	717
22	205	687
23	208	659
24	210	632
25	213	608
26	216	586
27	219	564
28	222	544
29	226	528
30	229	511
31	232	493
32	235	477
33	237	461
34	241	447
35	243	433
36	246	419
37	249	406
38	251	393
39	255	383
40	258	372
41	261	361
42	264	351
43	267	340
44	271	332
45	274	322
46	277	312
47	280	303
48	282	294
49	287	287
50	291	280
51	294	271
52	297	263
53	300	255
54	303	248
55	305	240
56	308	232
57	311	225
58	314	218
59	319	213
60	322	206
61	325	199
62	328	192
63	331	186
64	337	181
65	341	175
66	344	169
67	347	163
68	351	158
69	353	151
70	356	145
71	359	139
72	361	133
73	364	128
74	368	122
75	371	117
76	374	111
77	377	106
78	380	101
79	383	95
80	386	90
81	389	85
82	392	80
83	395	75
84	398	70
85	401	65
86	404	60
87	407	55
88	410	50
89	415	46
90	418	41
91	422	36
92	432	32
93	435	27
94	438	23
95	441	18
96	444	13
97	448	9
98	451	4
99	453	0
